unit_cap_sigma_pct,decoder,metric,mean,std,min,p01,p05,median,p95,p99,max
0.5,NOMINAL_SRM,sndr_db,66.18042595160784,3.594520205319979,59.257508277264755,59.50773572569958,61.38922103677391,65.90619294194829,72.4522306737564,74.20923971553701,79.59341288292981
0.5,NOMINAL_SRM,sfdr_db,71.28956421201157,4.712711893796805,62.295594876707895,62.92545965851749,65.03118089456352,70.5174467158924,79.08203253245391,82.71274586449357,87.37604529695838
0.5,NOMINAL_SRM,enob,10.701067433821901,0.5970963796212586,9.551081109180194,9.592647130514882,9.90518621873321,10.655513777732272,11.742895460756879,12.034757427830069,12.929138352646149
0.5,NOMINAL_SRM,code_rmse_to_oracle_affine_lsb,12.296310634279397,4.62633451253972,2.4376941555643703,4.522159751556006,5.523010149068484,11.738948879228637,19.74634089252933,24.52058113450445,25.23811775862275
0.5,NOMINAL_SRM,weight_rmse_gain_aligned_lsb,5.86460262518226,2.180439449723367,1.184849574972765,2.078694658845908,2.6710991921917557,5.678984288720909,9.421745077900795,11.642086626921028,12.228337607779718
0.5,CAL_CURRENT_SRM,sndr_db,95.27025442843086,0.35963711747817706,94.24536232388157,94.31189150403497,94.57129444539136,95.30627401674937,95.77781328851836,95.94589780968573,95.95035066515558
0.5,CAL_CURRENT_SRM,sfdr_db,111.78266351942338,2.9997715868858426,103.88421271776107,105.02522829547402,106.039863137206,111.96782278745965,116.86498071940069,118.09595666134878,119.26681970089383
0.5,CAL_CURRENT_SRM,enob,15.533264855221073,0.059740384963152336,15.36301699732252,15.374068356151989,15.417158545746073,15.539248175539763,15.61757695822564,15.645497975030853,15.6462376520192
0.5,CAL_CURRENT_SRM,code_rmse_to_oracle_affine_lsb,0.4725280199361538,0.014523789303692167,0.43777112343806485,0.4451441246108472,0.4521067874541532,0.4709910493030339,0.49779582968556635,0.5137856774611322,0.5204166213275631
0.5,CAL_CURRENT_SRM,weight_rmse_gain_aligned_lsb,0.20110144102459937,0.013160385561558824,0.17262448396214716,0.17375711496622961,0.1816047059037506,0.20096222724234078,0.22540733289029322,0.23391544352576435,0.23657527485520058
0.5,ORACLE_SRM,sndr_db,97.15337980524932,0.09472024373818162,96.97823280257316,96.98041366189315,97.00675441545407,97.1578239087201,97.31928702580804,97.36309469177192,97.42961362567378
0.5,ORACLE_SRM,sfdr_db,120.69614430638165,0.6723550243227304,118.52586871094168,118.76451062564294,119.45833307016608,120.75542361618034,121.59290581694836,122.02100883456812,122.14854836688579
0.5,ORACLE_SRM,enob,15.846076379609517,0.015734259757173016,15.816982193118465,15.817344462108496,15.82172000256712,15.846814602777425,15.873635718572764,15.880912739496997,15.891962396291326
0.5,ORACLE_SRM,code_rmse_to_oracle_affine_lsb,7.710027821408935e-12,6.058163263069348e-12,1.1102230246251565e-16,2.3917573341655303e-16,1.5746377595307243e-15,5.361788294856931e-12,2.0684386257312354e-11,2.5133525613528902e-11,3.095779588072625e-11
0.5,ORACLE_SRM,weight_rmse_gain_aligned_lsb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,NOMINAL_SRM,sndr_db,60.163446667752865,3.5959315729813364,53.22892934751408,53.501586777876625,55.37927040823122,59.93083643324999,66.45600940485473,68.16653941654151,73.65043057458647
1.0,NOMINAL_SRM,sfdr_db,65.25661261163901,4.7025327601551385,56.27085001307127,56.905410694872224,59.002445084179264,64.49744246238785,73.01466111826733,76.65040266564665,81.39069937493136
1.0,NOMINAL_SRM,enob,9.701569213912437,0.5973308260766337,8.549656037793039,8.594947969746949,8.90685554954007,9.66292964007475,10.746845416088822,11.03098661404344,11.941931989133964
