chip_id,decoder,sndr_db,snr_db,sfdr_db,thd_db,enob,dnl_min_lsb,dnl_max_lsb,inl_min_lsb,inl_max_lsb,missing_codes,saturation_fraction,code_rmse_to_oracle_affine_lsb,code_max_to_oracle_affine_lsb,code_gain_to_oracle,weight_rmse_gain_aligned_lsb,weight_max_gain_aligned_lsb
0,NOMINAL_SRM,62.273606904424,80.61005128572221,66.48816552487848,-66.18753277353966,10.0520941701701,-1.0,3.5058442451374354,-50.19060642637786,50.19190514751953,1054,0.031982421875,18.577478865298286,45.069719140741654,0.9990215680741642,8.28577078091534,24.064665675408833
0,CAL_CURRENT_SRM,95.63129085785995,96.53320123389891,112.57984074010379,-116.98607626720337,15.593237684029893,-0.5144352549821467,0.9422589800714132,-0.8409680471205786,0.8120975371562852,0,0.0,0.4274086704096177,1.2718242362871024,1.029731912652987,0.1976046474463295,0.5190420314354114
0,CAL_ZERO_COMP_ERROR_SRM,93.04680268102422,95.51802450681231,108.79490606423126,-107.81434387074114,15.163920711133592,-0.5121080338750286,0.9515678644998857,-1.6426642252231634,1.4005035477225911,0,0.0,0.5479339642777018,1.8799341639896738,1.0248247579347236,0.25946243516339185,0.5394112126232358
0,ORACLE_SRM,97.06056050875219,97.24809430216995,123.95939877921725,-125.71312158544977,15.830657891819301,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
1,NOMINAL_SRM,55.44203252054052,79.89213481346737,58.464008092941455,-56.87711255202111,8.91728114959145,-1.0,6.006200745311259,-95.60020465514476,95.60109047590348,839,0.02587890625,42.682673150884085,83.82727651722325,1.0009332349035382,18.87614019177993,65.73826411158734
1,CAL_CURRENT_SRM,95.62042506267785,96.65200619465013,116.14784545121847,-120.75251667043818,15.591432734664096,-0.5034753217819894,0.9860987128720424,-0.6185996475085261,1.108173682162558,0,0.0,0.44069577934580884,1.3147570959772565,1.0070030436710153,0.17849871992475558,0.5416023076435827
1,CAL_ZERO_COMP_ERROR_SRM,92.127843344697,95.61502461720515,103.51329960958648,-100.10302741539219,15.011269658587542,-0.50007629627369,0.99969481490524,-1.4170964690084535,1.3295388653218176,0,0.0,0.5881075372913545,1.9248833653327893,1.0001555018717025,0.26443522802246083,0.5997951971794464
1,ORACLE_SRM,97.28784662784919,97.72352974690128,123.69361829393945,-126.49785039121028,15.868413061104517,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
2,NOMINAL_SRM,59.30036628182059,79.93511119740167,62.91244826034804,-61.28576652599552,9.558200379039965,-1.0,2.998657185583056,-61.164738914151435,61.1644032105472,883,0.0,28.046440950762765,50.92736045033416,0.9995116851013748,11.43216480375509,40.994452590344736
2,CAL_CURRENT_SRM,95.16362960471065,96.57801150148214,111.10839177703335,-110.11386178967044,15.515553090483497,-0.5052262149996185,0.979095140001526,-1.2194247348744947,1.2089723048752576,0,0.0,0.4509885780665622,1.4970063958385253,1.0105711500655916,0.23130758988760858,0.5814435502942388
2,CAL_ZERO_COMP_ERROR_SRM,93.4667752187603,95.51298007060089,108.88512319833326,-115.01305878454488,15.233683591156197,-1.0,0.9793694875942258,-1.6632435071870926,1.652928250984206,4,0.0,0.5329113631958559,1.8133200125430449,1.010409107758948,0.23579038987606957,0.5565984704408038
2,ORACLE_SRM,97.15895084338386,97.48381912955169,123.1233429799801,-124.59515671692503,15.847001801226556,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
3,NOMINAL_SRM,55.81968530797997,79.21681075054379,58.13203295385121,-57.08879467997454,8.980014170760793,-1.0,1.4990081484420301,-72.91091647083957,72.91051973021638,639,0.0,42.07812324412649,76.1875198229809,1.0002009068187676,17.250882851496453,62.38371136075148
3,CAL_CURRENT_SRM,95.34860982743821,96.19606333529828,115.56389621930393,-113.26294412466629,15.546280702232261,-0.5098154407220625,0.9607382371117501,-0.8632170841312602,1.3337707619650685,0,0.0,0.444956349056773,1.431143134181184,1.0200143873195433,0.20181798449244626,0.5821399789834985
3,CAL_ZERO_COMP_ERROR_SRM,91.99700543464755,95.85812773606597,101.80229777124723,-100.57082160120422,14.989535786486304,-0.506507972838941,0.973968108644236,-1.634073395895323,1.621057450217441,0,0.0,0.6077048403011327,2.1911056417948203,1.0131904170335966,0.20600381958662817,0.3923498550178124
3,ORACLE_SRM,97.15363739086695,97.35730805869107,123.61331227008698,-126.35325752110703,15.846119167918097,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
4,NOMINAL_SRM,54.343110649469814,76.96755337492083,57.14157766049625,-55.6773210809431,8.734735988284024,-1.0,1.501144968246214,-100.81056118710728,100.81101917440543,995,0.0184326171875,48.653980813784436,88.26484517649715,1.0016648720545192,21.598877610550062,71.70827803634893
4,CAL_CURRENT_SRM,94.75261486765058,95.9885753512833,110.75773192597607,-106.56780017646861,15.447278217217704,-0.5089151515613914,0.9643393937544344,-0.8138003646934034,1.2870549100092399,0,0.0,0.464668785051614,1.4659558957609988,1.0181632349054925,0.21830552388245486,0.681842645606693
4,CAL_ZERO_COMP_ERROR_SRM,94.06719778935397,96.15798035444425,106.43608543488912,-112.48572550257123,15.33342155969335,-1.0,0.9833063753166298,-1.4060106204412832,1.4060106204412826,1,0.0,0.5079799436407125,1.6498425653680897,1.0084282110041978,0.17943908130980546,0.370361139318355
4,ORACLE_SRM,97.11485638030283,97.53169979421577,123.31138338283958,-122.62492756764773,15.839677139585188,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
5,NOMINAL_SRM,57.204676224793445,75.38996281954441,64.07821442874112,-63.98505200505235,9.210079107108546,-1.0,1.498664835584039,-73.43762874799937,73.43709468223311,1875,0.0,32.01711535113918,61.965041625917365,0.9995606162657636,11.708032550757963,36.744671345772986
5,CAL_CURRENT_SRM,95.75440786926025,97.0358733495106,107.6261355915253,-107.39591055330155,15.613689014827283,-0.5111660448472919,0.9553358206108324,-0.6207435891566908,1.0872454546148151,0,0.0,0.4350118332096932,1.3438563518284354,1.0228391909780588,0.1654915126645049,0.4339957787090114
5,CAL_ZERO_COMP_ERROR_SRM,92.07599610769807,94.6842129210666,106.49812641098178,-107.00845667263829,15.002657160747189,-0.5177123150754958,1.8937261095470257,-1.5845102123341472,2.0313732671076608,0,0.0,0.6213539908656377,2.2564269811955455,1.0367385799167377,0.35441217752538545,0.8786860092469979
5,ORACLE_SRM,97.15536297371989,97.4647447859057,123.34103106852021,-124.10521241017074,15.846405809588022,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
6,NOMINAL_SRM,57.9627373819567,78.15654149822814,61.40144704704214,-60.67755495755759,9.336002887368224,-1.0,2.4981841486861787,-71.5011749626148,71.50065614795372,1750,0.0,32.467954688626094,67.90451032876445,1.0002815292720593,13.278659418325013,40.50314017915662
6,CAL_CURRENT_SRM,95.30104734953133,96.87171398667458,110.83280037752418,-111.90383974058811,15.538379958393909,-0.5018501987533094,0.9925992049867625,-0.8198326046983608,1.310581610931814,0,0.0,0.45076960836814417,1.307449161360637,1.0037293490722972,0.1607826279682216,0.4620155122359719
6,CAL_ZERO_COMP_ERROR_SRM,92.98407229179253,95.78012949510816,101.98924976863228,-100.79008725890311,15.153500380696434,-0.5006218193748235,0.9975127225007059,-1.2999839776602806,1.79811851953581,0,0.0,0.554494233273991,1.8985092678531146,1.0012308866826258,0.2013146724171055,0.401329474697377
6,ORACLE_SRM,97.13020031782546,97.344830205965,122.38831358528091,-124.2628262433219,15.842225966416189,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,0.0,0.0
