unit_cap_sigma_pct,chip_id,decoder,sndr_db,sfdr_db,enob,code_rmse_to_oracle_affine_lsb,weight_rmse_gain_aligned_lsb
0.5,0,NOMINAL_SRM,69.82350156376759,74.19683164114903,11.306229495642457,7.473904072470432,3.457049325497671
0.5,0,CAL_CURRENT_SRM,95.95035066515558,115.64043736192954,15.6462376520192,0.44859746131294026,0.19607612167590216
0.5,0,ORACLE_SRM,97.18596346103773,120.01830726657771,15.851488947016234,1.8669622420799034e-15,0.0
0.5,1,NOMINAL_SRM,63.01107747555827,65.95888096283682,10.174597587302038,16.38155012854618,7.865688495349844
0.5,1,CAL_CURRENT_SRM,95.49175821327671,109.67221268750471,15.570059503866563,0.46561804027529824,0.20451702615600753
0.5,1,ORACLE_SRM,97.33279730955365,120.58620593914212,15.875879951753099,1.3050909348645309e-11,0.0
0.5,2,NOMINAL_SRM,66.8844881075658,70.47432320969642,10.818021280326544,10.490567840886571,4.765518937798113
0.5,2,CAL_CURRENT_SRM,95.27875400066593,111.71479586120499,15.534676744296666,0.47706936058662885,0.2133674456298434
0.5,2,ORACLE_SRM,97.08673757664941,120.94007646959602,15.83500624196834,1.3051759670180789e-11,0.0
0.5,3,NOMINAL_SRM,63.41696001263321,65.73235623768699,10.242019935653358,15.633840688372958,7.189932039144381
0.5,3,CAL_CURRENT_SRM,95.49596664212038,112.14804020759843,15.570758578425313,0.45828589682024173,0.19220064331067807
0.5,3,ORACLE_SRM,97.05355877504243,119.72613887721513,15.829494813129973,5.361834251034664e-12,0.0
0.5,4,NOMINAL_SRM,61.947742669620034,64.73770021888373,9.99796389860798,18.51275221382631,8.999896509931158
0.5,4,CAL_CURRENT_SRM,94.54472005898297,105.35542531991214,15.412744195844349,0.4923870538322225,0.21799522343758929
0.5,4,ORACLE_SRM,97.24939470060681,120.84270569596745,15.862025697775218,1.6467268631127714e-15,0.0
0.5,5,NOMINAL_SRM,64.80740968272909,71.48433920154523,10.472991641649351,13.317120967350421,4.881672620462851
0.5,5,CAL_CURRENT_SRM,95.88064674315834,114.44200734877107,15.63465892743494,0.4485085400030906,0.1813317118456538
0.5,5,ORACLE_SRM,97.2708468687785,121.08631854451572,15.865589180860217,1.897149936107019e-15,0.0
0.5,6,NOMINAL_SRM,65.55076209703358,69.03153873401817,10.596472109141793,12.234189892330507,5.5341282028951415
0.5,6,CAL_CURRENT_SRM,95.34301198770353,113.17009962785299,15.545350828522182,0.46752419501222064,0.20188516478941795
0.5,6,ORACLE_SRM,97.2015824889801,120.92949198085154,15.854083469930249,1.7923186123719294e-15,0.0
0.5,7,NOMINAL_SRM,67.08121255403886,75.74429389910505,10.850699759807119,10.249833030539286,4.629915102091169
0.5,7,CAL_CURRENT_SRM,95.35851113370371,112.11411922877092,15.547925437492312,0.47255478128473477,0.194234289821123
0.5,7,ORACLE_SRM,97.16257346587612,120.94356190267507,15.847603565760153,1.0442794119007577e-11,0.0
0.5,8,NOMINAL_SRM,59.257508277264755,62.295594876707895,9.551081109180194,25.23811775862275,12.228337607779718
0.5,8,CAL_CURRENT_SRM,94.7079871804629,106.13345116414183,15.439864980143337,0.4940255356505431,0.20891896799354345
0.5,8,ORACLE_SRM,97.28670662071002,120.47040188620882,15.868223691147845,5.3618366641277386e-12,0.0
0.5,9,NOMINAL_SRM,68.92346968376191,72.9763905423003,11.156722538830882,8.292705551103431,4.22186766705818
0.5,9,CAL_CURRENT_SRM,94.56490132644592,109.21492260110257,15.416096565854804,0.4944953859222341,0.20211406376981916
0.5,9,ORACLE_SRM,97.24115154388983,119.801143851306,15.860656402639506,5.361734567404478e-12,0.0
