amplitude_ratio,decoder,metric,mean,std,min,p01,p05,median,p95,p99,max
0.7,NOMINAL_SRM,sndr_db,55.03491878649629,3.716089245058068,46.113709535226796,48.096642945500065,49.37490114423264,54.54203090657245,61.766857508144966,63.49146275593415,67.30493379309092
0.7,NOMINAL_SRM,sfdr_db,58.91616143933993,4.92634535238677,48.622044032584625,49.295628429740006,51.000870513434165,58.986771859630906,66.68171481201229,70.96090633683808,73.51744666263721
0.7,NOMINAL_SRM,enob,8.849654283471146,0.617290572268782,7.367725836416412,7.697116768355493,7.909452017314393,8.767779220360872,9.96791652959219,10.25439580663358,10.887862756327396
0.7,NOMINAL_SRM,saturation_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,CAL_CURRENT_SRM,sndr_db,92.11222021873458,0.48251663273869355,90.86334535368769,90.99608478828142,91.26917908831724,92.1499677445043,92.86273213855331,93.00458839709107,93.0312720032334
0.7,CAL_CURRENT_SRM,sfdr_db,107.77876529739129,3.172593732645192,100.64012136366483,100.87346957735619,102.36232643630296,107.60444246686947,113.34062348178864,114.2645812027973,114.73278786211635
0.7,CAL_CURRENT_SRM,enob,15.0086744549393,0.08015226457453375,14.801220158419882,14.823269898385618,14.868634400052699,15.01494480805719,15.133344209062013,15.156908371609813,15.161340864324485
0.7,CAL_CURRENT_SRM,saturation_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,CAL_SUM_NORM_SRM,sndr_db,92.22278775850995,0.49351828817441246,91.0642653622431,91.15616689486694,91.38471092836193,92.24118517215845,92.95508302719692,93.10105781514102,93.21662236902769
0.7,CAL_SUM_NORM_SRM,sfdr_db,107.78793885108027,3.0266858857814856,100.30198321126925,100.83573590201735,102.78670415098983,107.82591036723616,113.36554153214033,113.88843158973904,114.31698796238447
0.7,CAL_SUM_NORM_SRM,enob,15.027041155898663,0.08197978208877287,14.834595575123439,14.849861610443014,14.887825735608294,15.030097204677485,15.14868488823869,15.17293319188389,15.192129961632507
0.7,CAL_SUM_NORM_SRM,saturation_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,CAL_HEADROOM_GUARD_SRM,sndr_db,92.1137530632386,0.48368012519791487,90.86334535368769,90.99608478828142,91.26917908831724,92.1499677445043,92.86273213855331,93.00458839709107,93.0312720032334
0.7,CAL_HEADROOM_GUARD_SRM,sfdr_db,107.78008758218773,3.1646583338351797,100.64012136366483,100.87346957735619,102.72428004437006,107.60444246686947,113.34062348178864,114.2645812027973,114.73278786211635
0.7,CAL_HEADROOM_GUARD_SRM,enob,15.008929080272193,0.08034553574716187,14.801220158419882,14.823269898385618,14.868634400052699,15.01494480805719,15.133344209062013,15.156908371609813,15.161340864324485
0.7,CAL_HEADROOM_GUARD_SRM,saturation_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,ORACLE_SRM,sndr_db,94.03953511792464,0.08630600665106838,93.86061066980764,93.86656427369353,93.90824853718469,94.0316493171618,94.18089919913957,94.24759693399125,94.27585143159962
0.7,ORACLE_SRM,sfdr_db,117.52418482920763,0.718653344455883,114.2873644079473,115.92309061345765,116.39122626336697,117.62556523459337,118.48588029548823,118.71366796384393,118.8191054244167
0.7,ORACLE_SRM,enob,15.328826431548944,0.014336545955326963,15.299104762426518,15.300093733171682,15.307018029432673,15.327516497867407,15.352308837066374,15.363388195015157,15.368081633156082
0.7,ORACLE_SRM,saturation_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82,NOMINAL_SRM,sndr_db,56.71993410185763,3.7157791875929074,48.627878617514966,49.01965199671227,51.44875673248869,56.55625167099571,63.234581825578175,64.51871167456292,68.9606135490707
0.82,NOMINAL_SRM,sfdr_db,60.92087855382378,4.722760149235733,50.11736650362677,51.027816863584604,53.46473478522395,60.87298935105616,68.68330905910673,71.24209430471963,74.15262599963296
0.82,NOMINAL_SRM,enob,9.129557159777015,0.6172390677064631,7.785361896597172,7.8504405310153285,8.253946301077855,9.102367387208592,10.211724555743883,10.425035161887529,11.1628926161247
0.82,NOMINAL_SRM,saturation_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82,CAL_CURRENT_SRM,sndr_db,93.51054976663417,0.4872120705113629,92.0805837866884,92.20807962420035,92.68872447351977,93.57068316287845,94.2464025685634,94.369111811137,94.4318623652665
0.82,CAL_CURRENT_SRM,sfdr_db,109.39152851821056,2.9634514644750443,100.6648010514024,102.16441944315125,105.09465809349435,109.42913332982775,114.93984729713996,116.09105055768157,116.32805045366226
0.82,CAL_CURRENT_SRM,enob,15.240955110736575,0.08093223762647221,15.003419233669169,15.024597944219328,15.104439281315576,15.250944046989776,15.363189795442423,15.38357339055432,15.393997070642275
0.82,CAL_CURRENT_SRM,saturation_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82,CAL_SUM_NORM_SRM,sndr_db,93.60482068524504,0.4846409412759524,92.14432773616785,92.4038710886177,92.8159463591136,93.61043407227348,94.28238341920414,94.4493409696445,94.50701950155333
0.82,CAL_SUM_NORM_SRM,sfdr_db,109.52465838663593,3.0087889819009277,101.06781770150718,102.45083828353853,104.74983993332675,109.10164860638073,114.43454115379272,115.89909994242961,116.6746924713502
0.82,CAL_SUM_NORM_SRM,enob,15.256614731768277,0.08050513974683597,15.014007929595989,15.057121443291976,15.125572484902591,15.257547188085296,15.36916668093092,15.396900493296426,15.406481644776301
0.82,CAL_SUM_NORM_SRM,saturation_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82,CAL_HEADROOM_GUARD_SRM,sndr_db,93.51103391991973,0.4883903062467051,92.0805837866884,92.20807962420035,92.68872447351977,93.57068316287845,94.2464025685634,94.369111811137,94.4318623652665
0.82,CAL_HEADROOM_GUARD_SRM,sfdr_db,109.39758586979156,2.965072732934184,100.6648010514024,102.16441944315125,105.09465809349435,109.42913332982775,114.93984729713996,116.09105055768157,116.32805045366226
0.82,CAL_HEADROOM_GUARD_SRM,enob,15.241035534870385,0.08112795784828986,15.003419233669169,15.024597944219328,15.104439281315576,15.250944046989776,15.363189795442423,15.38357339055432,15.393997070642275
0.82,CAL_HEADROOM_GUARD_SRM,saturation_fraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82,ORACLE_SRM,sndr_db,95.42862220288497,0.10772639751419816,95.18176607675332,95.18620520119494,95.25057562167004,95.42763273385074,95.61238263766865,95.68030087855888,95.73322576108332
