chip_id,decoder,weight_rmse_lsb,weight_rmse_gain_aligned_lsb,weight_max_abs_gain_aligned_lsb,static_error_rms_code,static_error_max_abs_code,static_backsteps,dynamic_sndr_db,dynamic_snr_db,dynamic_sfdr_db,dynamic_thd_db,dynamic_enob,saturation_fraction
0,NOMINAL,197.92306171194068,156.24510496425955,479.05020010501175,350.06837892310614,684.2976752136747,13,35.811940598449546,40.99109512908182,39.984827304076674,-37.38240632833582,5.65646853794843,0.0
0,RTL_CAL_RAW,166.43496349690062,0.1949625995631851,0.5854979798954112,262.0791921149276,453.619999999999,0,92.0128727108383,92.2992266032382,106.4276702549502,-103.96407518745137,14.99217154665088,0.0
0,RTL_CAL_GAIN_COMP,0.19478652393112394,0.19471338296901075,0.5851008688155908,0.476567409892545,1.4009914529924572,0,92.16229810075743,92.42525328136138,106.91742247688914,-104.47213812113355,15.016993039992927,0.0
0,ORACLE,0.0,0.0,0.0,0.4053671905887972,0.9769230769215937,0,93.18796314295622,93.2051283764852,114.9527005538989,-117.22788888309994,15.187369292849871,0.0
1,NOMINAL,293.3545084738708,144.5639352398371,439.0453473473681,653.5097999291789,835.7413675213684,50,36.59440935983731,41.503204607712945,40.19459703574717,-38.288131276794864,5.7864467375145034,0.0
1,RTL_CAL_RAW,185.00993574997577,0.2140821557175434,0.5766615976259288,295.1297618459265,511.619999999999,0,91.18933058932822,91.53635062619598,103.40866316018199,-102.33598291636514,14.855370529788742,0.0
1,RTL_CAL_GAIN_COMP,0.2161570525430423,0.21381042267607145,0.575423527456266,0.5186915672647857,1.6824957264961995,0,91.36833789065099,91.70158398635468,103.49417337824178,-102.68408795065804,14.885105961902159,0.0
1,ORACLE,0.0,0.0,0.0,0.4058464585708604,0.9769230769270507,0,93.4618100568786,93.48148433317985,112.71481748804999,-116.91049893205131,15.232858813434984,0.0
2,NOMINAL,268.13077434932444,141.22903694726378,365.66109336528825,573.1570273283501,834.9748034188051,39,36.841862406637716,41.23047927965308,40.18706880557814,-38.80750261922023,5.827551894790319,0.0
2,RTL_CAL_RAW,200.56263960367446,0.23799859507838322,0.6417103404039857,305.4948316803464,529.619999999999,0,90.43272248306602,90.90127012328608,101.57370930973559,-100.33519581103377,14.729688120110634,0.0
