decoder,sndr_db,snr_db,sfdr_db,thd_db,enob,dynamic_saturation_fraction,dnl_min_lsb,dnl_max_lsb,dnl_pp_lsb,inl_min_lsb,inl_max_lsb,inl_pp_lsb,missing_codes,static_saturation_fraction
NOMINAL_Q8_NO_SRM,61.6297472207691,83.39734560126216,66.73144897527028,-65.53556384337257,9.945140734347028,0.0,-1.0,1.9998626688029297,2.9998626688029297,-54.252689402614166,54.25264362554848,108.50533302816265,1061,0.0
NOMINAL_Q8_EXACT_RESIDUE,61.63187688400302,83.56179483838105,66.72591036827941,-65.53104606265381,9.945494499003825,0.0,-1.0,1.4998855573357748,2.4998855573357748,-54.25273517967983,54.25268940261419,108.50542458229401,1093,0.0
SELF_CAL_Q8_NO_SRM,93.43332063513554,92.44229213688502,105.54651080751432,-104.31501041003115,15.228126351351419,0.0,-1.0,0.9729915312428472,1.9729915312428472,-1.3726253147173268,1.3591210803387508,2.731746395056078,4,0.0
SELF_CAL_Q8_SRM_EXPECTED,95.43680060095164,97.63069999308847,106.87024615584647,-105.86278979046556,15.560930332383993,0.0,-0.5067521171892881,0.9729915312428472,1.4797436484321354,-0.9613183794918729,0.9478141451132965,1.9091325246051696,0,0.0
SELF_CAL_Q8_SRM_22_STOCHASTIC,94.90720695058539,96.44753577724593,107.04864661935227,-105.99274726574617,15.47295796521352,0.0,-0.5067521171892881,0.9729915312428472,1.4797436484321354,-0.9613183794918729,0.9478141451132965,1.9091325246051696,0,0.0
SELF_CAL_Q8_EXACT_RESIDUE,95.44109280957409,97.64061005039197,106.86707136061219,-105.77298145977471,15.561643323849516,0.0,-0.5067521171892881,0.9729915312428472,1.4797436484321354,-0.9393453879606317,0.9258411535820554,1.8651865415426871,0,0.0
ORACLE_Q8_NO_SRM,95.18076960082314,93.13414438769186,117.94543474152063,-125.9197439390094,15.518400265917466,0.0,-1.0,0.9999694819562066,1.9999694819562066,-0.9997558556496529,0.9997405966277562,1.999496452277409,556,0.0
ORACLE_Q8_SRM_EXPECTED,98.02047250177046,95.53296297295927,123.80749171295469,-131.72609920475614,15.990111711257551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ORACLE_Q8_EXACT_RESIDUE,98.05267717094877,95.55614889580715,124.41657287962136,-130.9933203165163,15.99546132407787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
ADCTOOLBOX_SINE_EXTERNAL_BASELINE,98.02596018138246,95.5388248444227,124.97774669386109,-126.12428406445603,15.99102328594393,0.0,-0.500061037018952,0.499816888943144,0.999877925962096,-0.4183782464064455,0.4182561723685415,0.836634418774987,0,0.0
