repeat,decoder,sndr_db,snr_db,sfdr_db,thd_db,enob,aligned_error_rmse_lsb,saturation_fraction
0,ORACLE_NO_SRM_NOISY,90.55402698406411,90.96678138060636,115.52709608668437,-117.22591709974836,14.749838369445865,0.6186975373123372,0.0
0,ORACLE_SRM_22_NOISY,95.8967139722695,96.22504362101856,123.12361661631512,-126.97427122159412,15.637327902370348,0.33445347286571214,0.0
0,ORACLE_SRM_EXPECTED_NOISY,96.77522357723483,97.76952668861213,120.79118403108427,-127.21589549721288,15.78325973043768,0.3023200679349995,0.0
0,SELF_CAL_NO_SRM_NOISY,89.79551826335378,90.53086176639171,106.0441771250673,-105.83514424848636,14.623840243082023,0.6660416226109174,0.0
0,SELF_CAL_SRM_22_NOISY,93.89385699227546,95.11159454576793,106.4267116662161,-106.36992025355494,15.304627407354728,0.41552582218132644,0.0
1,ORACLE_NO_SRM_NOISY,90.54060076412567,91.08924356622295,116.44526131702703,-115.65982979321842,14.747608100353101,0.6196348460225254,0.0
1,ORACLE_SRM_22_NOISY,95.89211810613367,96.32374850311686,120.61216619529255,-123.55577353407466,15.63656446945742,0.33462497255883855,0.0
1,ORACLE_SRM_EXPECTED_NOISY,96.79369150656603,97.79319061824226,120.17014020714905,-124.62970555880842,15.786327492785055,0.3017142511515706,0.0
1,SELF_CAL_NO_SRM_NOISY,89.7472086852634,90.62813615784412,105.39768665223441,-105.11463832238522,14.615815396223157,0.6697329060900834,0.0
1,SELF_CAL_SRM_22_NOISY,93.94387297453748,95.14846221003049,106.58213704864599,-106.47444895139714,15.312935710056061,0.4131144299936309,0.0
2,ORACLE_NO_SRM_NOISY,90.477363537146,90.92039011032006,114.8816498246007,-117.90020612533267,14.737103577599004,0.6241882067455504,0.0
2,ORACLE_SRM_22_NOISY,95.85673371069151,96.06973639650184,123.05773168569988,-123.78602013514626,15.630686662905568,0.33601483427394496,0.0
2,ORACLE_SRM_EXPECTED_NOISY,96.76889973535147,97.77286182992617,121.9981792336614,-125.50329291011792,15.782209258364032,0.3025307498664218,0.0
2,SELF_CAL_NO_SRM_NOISY,89.73880364604653,90.58923006108651,105.25567047404516,-105.17921578171574,14.614419210306734,0.6704201488419668,0.0
2,SELF_CAL_SRM_22_NOISY,93.80175992243893,94.89649422753942,106.08287267294588,-106.04324638850784,15.289328890770587,0.4199620847190288,0.0
3,ORACLE_NO_SRM_NOISY,90.51628713015359,90.94271764260638,114.94132753883332,-116.78053108836036,14.743569290723187,0.6213969105395369,0.0
3,ORACLE_SRM_22_NOISY,95.82854394179073,96.04410179314534,122.82642047753667,-122.46899257320703,15.62600397704165,0.33708546294484004,0.0
3,ORACLE_SRM_EXPECTED_NOISY,96.71022703321123,97.61642230286517,121.87340524922773,-126.36382505165355,15.772462962327447,0.3045493178848967,0.0
3,SELF_CAL_NO_SRM_NOISY,89.68934211091556,90.50469197733557,105.33195027566606,-105.16144734900541,14.606203008457735,0.6742194453465415,0.0
3,SELF_CAL_SRM_22_NOISY,93.91934052778788,94.99516828599988,106.25912900903528,-106.18481404191535,15.308860552788685,0.4142912688317975,0.0
4,ORACLE_NO_SRM_NOISY,90.47459528480267,90.99415132445236,114.55174513813729,-115.8546626938404,14.736643735017056,0.6243596584393349,0.0
4,ORACLE_SRM_22_NOISY,95.91999180633019,96.25581350224272,122.02297332913679,-123.89389950079467,15.641194652214317,0.3336322810454513,0.0
4,ORACLE_SRM_EXPECTED_NOISY,96.75678334202757,97.70797873971361,121.42551702893365,-124.65971388068718,15.780196568443118,0.3029195738431255,0.0
4,SELF_CAL_NO_SRM_NOISY,89.68626717294548,90.67313254899885,104.81978728425473,-104.66501568854328,14.605692221419515,0.6744493546492952,0.0
4,SELF_CAL_SRM_22_NOISY,93.83796892190175,95.00113561147137,105.9441643755187,-105.86107117955906,15.295343674734509,0.4182506299961341,0.0
5,ORACLE_NO_SRM_NOISY,90.58940883806724,90.95627950033771,115.07927730359589,-114.5974398402975,14.755715753831769,0.6161909207648405,0.0
5,ORACLE_SRM_22_NOISY,95.81452101654322,95.98417553289923,122.77205178067919,-120.40383028044738,15.623674587465652,0.3376882845221925,0.0
5,ORACLE_SRM_EXPECTED_NOISY,96.76178284609367,97.70797038254739,122.1781802152743,-122.72822740021078,15.781027050846124,0.3028327996839175,0.0
5,SELF_CAL_NO_SRM_NOISY,89.74185971167245,90.55479550385058,104.6164621581177,-104.47251456438325,14.614926862404062,0.6701595428703709,0.0
5,SELF_CAL_SRM_22_NOISY,93.90343773040512,95.17080037854802,105.76080062746098,-105.70227628873411,15.306218892093874,0.4150389663963463,0.0
6,ORACLE_NO_SRM_NOISY,90.64203901927007,90.98534327408211,115.9886198551587,-117.68417679298237,14.76445830884885,0.6124413461322459,0.0
6,ORACLE_SRM_22_NOISY,95.90466026192934,96.21864361102384,122.15156800458045,-125.07944910031169,15.638647884041418,0.3341421715925652,0.0
6,ORACLE_SRM_EXPECTED_NOISY,96.8381512832952,97.82646894837501,121.68866314492209,-124.06154410684458,15.79371283775668,0.3002088966472003,0.0
6,SELF_CAL_NO_SRM_NOISY,89.74673791260227,90.47568573959133,105.40187901993343,-105.28428270442447,14.61573719478443,0.6697684267347305,0.0
6,SELF_CAL_SRM_22_NOISY,93.92116205571614,94.85793067068785,106.6699572125073,-106.53390351863669,15.30916313217876,0.4142080430541786,0.0
7,ORACLE_NO_SRM_NOISY,90.53632716076464,91.00935304794373,115.80400754880073,-115.40752137979152,14.746898199462565,0.6199380331799342,0.0
7,ORACLE_SRM_22_NOISY,95.95004724068998,96.1403886583136,121.44320142639204,-123.79642389759249,15.64618724928405,0.33242406778737177,0.0
7,ORACLE_SRM_EXPECTED_NOISY,96.76673093901081,97.73124875732557,120.89425931897028,-126.62387686057014,15.781848993191165,0.3026044691199907,0.0
7,SELF_CAL_NO_SRM_NOISY,89.72651865992881,90.51524365764705,105.7779251933352,-105.40757964640305,14.612378514938342,0.6713292067653468,0.0
7,SELF_CAL_SRM_22_NOISY,93.87819264910299,95.15086666473337,106.37105137792916,-106.2131241455306,15.302025356993852,0.41624932894290456,0.0
8,ORACLE_NO_SRM_NOISY,90.59422209075295,91.0849054403083,115.71328632529463,-115.87081357826128,14.756515297467267,0.6158782727389892,0.0
8,ORACLE_SRM_22_NOISY,95.8397638336518,96.05661153368617,122.1190747966432,-122.91857330051442,15.627867746453788,0.33665387826022475,0.0
8,ORACLE_SRM_EXPECTED_NOISY,96.73106735590741,97.69396636072219,121.57662918594141,-123.9668177506136,15.775924809951398,0.30394154676982016,0.0
8,SELF_CAL_NO_SRM_NOISY,89.82037687968116,90.60457162629929,104.8819555725914,-104.74043139797487,14.627969581342386,0.6641558149128509,0.0
8,SELF_CAL_SRM_22_NOISY,93.85747634151775,95.11616938179,106.19597179118811,-106.1108091162713,15.29858410988667,0.4172447782337421,0.0
9,ORACLE_NO_SRM_NOISY,90.57350609284188,90.99680154567517,116.5138186460342,-117.99372863768781,14.753074101800978,0.6172904814382152,0.0
9,ORACLE_SRM_22_NOISY,95.86016940982893,96.08721544827183,122.82125914868338,-120.9065237271666,15.631257377047994,0.3359191252481449,0.0
9,ORACLE_SRM_EXPECTED_NOISY,96.75534448349455,97.74182865749138,121.23375792267356,-126.12919174864581,15.779957555397766,0.3030295614136594,0.0
9,SELF_CAL_NO_SRM_NOISY,89.81019447699934,90.5227839884602,106.51036176826466,-106.2981423059941,14.626278152325472,0.6648915019264677,0.0
9,SELF_CAL_SRM_22_NOISY,93.88970145053264,95.03621342449522,106.08675286877278,-105.98558415550572,15.303937118028678,0.4157139645867426,0.0
10,ORACLE_NO_SRM_NOISY,90.5060930693537,90.92200257999421,114.80696186556838,-117.71751981378355,14.74187592514181,0.62210500678788,0.0
10,ORACLE_SRM_22_NOISY,95.83788921536397,96.02766117407023,123.18578999310222,-123.47117480706503,15.627556348067106,0.3367324286484346,0.0
10,ORACLE_SRM_EXPECTED_NOISY,96.75501985092754,97.73771204795341,121.78576657894668,-125.62977982687894,15.779903629722183,0.3030273078631876,0.0
10,SELF_CAL_NO_SRM_NOISY,89.69073007435952,90.44739288932479,105.79547511684753,-105.66558524748588,14.606433567169356,0.6741030894876564,0.0
10,SELF_CAL_SRM_22_NOISY,93.74949606522077,94.91067645792657,105.91962635348415,-105.83468928949358,15.280647186913749,0.4224770543348642,0.0
