chip_id,unit_cap_sigma_pct,cap_rel_error_rms_pct,cap_rel_error_max_abs_pct,bridge_rel_error_rms_pct,effective_weight_rel_error_rms_pct,effective_weight_rel_error_max_abs_pct,node_parasitic_ff,comparator_input_ff,critical_redundancy_margin_min_lsb
0,1.2,0.5738841902221933,1.883611660899419,0.5846707459248516,0.8579888892300807,2.049419121211926,0.3938507995205203,5.150651783785585,29.563779240818633
1,1.2,0.6229468929323803,1.3606767288167518,0.5021482859038833,0.9459694827133652,2.4715597762259067,0.40646547974331715,4.767223672347568,29.33464232200697
2,1.2,0.3800142646556443,1.0705450935179142,0.47428502993690236,0.5643250924172396,1.2574283178137358,0.39013576093011565,4.896322400241467,28.931478157225285
3,1.2,0.6085149703476873,1.7525083632512046,0.25246007700983786,0.5550592064365397,1.4504235663924003,0.4020684291227036,4.88760577897363,28.51323851411496
4,1.2,0.5202681358086803,1.024497285916351,0.3088855557916044,0.5415720248554167,1.06725415298905,0.3970154133249728,4.941258933228206,29.740491764889924
5,1.2,0.6529819198336002,1.733834567396568,0.42998258662922106,0.8424481646064454,2.0171671048700768,0.394132651462495,4.92649625676067,30.349455366385868
6,1.2,0.7190068032902396,2.988445224631688,0.9704491996079981,0.8715741433617532,2.6476197277005564,0.39487363757642135,5.139630697372749,28.985401068662895
7,1.2,0.7057290054693991,1.959629502698748,0.35159281461286823,0.8814709462112857,2.3840046278760907,0.40286061997250117,4.98202894348257,29.697139420048003
8,1.2,0.7662669873400008,2.8219482209188023,0.4282929959262896,1.0070337922892874,3.5455273171212554,0.40510218275334736,4.9489239063300285,27.077623016525422
9,1.2,0.6081000025239376,1.9196219167517852,0.4230383885505339,0.6497635973848489,1.427403487799439,0.3931209049402804,4.8581876336050795,29.745548316841415
10,1.2,0.6232283015048147,1.5345139544771755,0.3984286263673346,0.6180740153966254,1.326325796785266,0.4095181566039841,4.988159985657183,30.006813559512807
11,1.2,0.5144592979537286,1.3063671686768297,0.5205569122866266,0.8594290114543836,1.7513623107877407,0.39326196937551416,5.130093507582826,28.98666993000961
12,1.2,0.3961316861643584,0.8853198742455286,0.4717003629206508,0.4955921663050834,1.438612957078922,0.3828871622845988,4.892328984367731,29.404549908642252
