chip_id,decoder,fullscale_sndr_db,fullscale_snr_db,fullscale_sfdr_db,fullscale_thd_db,fullscale_enob,fullscale_saturation_fraction,backoff_sndr_db,backoff_snr_db,backoff_sfdr_db,backoff_thd_db,backoff_enob,backoff_saturation_fraction,dnl_min_lsb,dnl_max_lsb,inl_min_lsb,inl_max_lsb,missing_codes,ramp_saturation_fraction,code_rmse_to_oracle_affine_lsb,code_max_to_oracle_affine_lsb,code_gain_to_oracle,code_offset_to_oracle_lsb,weight_rmse_gain_aligned_lsb,weight_max_gain_aligned_lsb,weight_gain_to_oracle,sum_normalization_scale
0,NOMINAL_SRM,62.273606904424,80.61005128572221,66.48816552487848,-66.18753277353966,10.0520941701701,0.031982421875,60.077368022025425,79.60747097667378,64.39725230394235,-61.75519765537065,9.687270435552398,0.0,-1.0,3.5058442451374354,-50.19060642637786,50.19190514751953,1054,0.0012969970703125,18.577478865298286,45.069719140741654,0.9990215680741642,-0.0019526264630375094,8.28577078091534,24.064665675408833,0.9991808991619394,1.0
0,CAL_CURRENT_SRM,95.63129085785995,96.53320123389891,112.57984074010379,-116.98607626720337,15.593237684029893,0.0,94.14409636655533,94.91878012868837,111.48754769952083,-110.37773527718407,15.3461954097268,0.0,-0.5144352549821467,0.9422589800714132,-0.8409680471205786,0.8120975371562852,0,0.0,0.4274086704096177,1.2718242362871024,1.029731912652987,-0.001506429125568995,0.1976046474463295,0.5190420314354114,1.0297326124428972,1.0
0,CAL_SUM_NORM_SRM,95.31728451137036,96.7489395486597,113.15397833103214,-109.94705234572658,15.541077161357203,0.0072021484375,94.32868903579498,95.29259353104237,111.61567173273617,-110.00778887892734,15.376858643819764,0.0,-0.49994658690310867,1.0002136523875653,-0.840935797457532,0.8410426236513158,0,0.0001068115234375,0.42682258265016537,3.4324764169941773,0.9998953001494054,-0.0017764125613705247,0.19760464744630837,0.5190420314354114,0.9998959757806004,1.029839740718032
0,CAL_HEADROOM_GUARD_SRM,95.63129085785995,96.53320123389891,112.57984074010379,-116.98607626720337,15.593237684029893,0.0,94.14409636655533,94.91878012868837,111.48754769952083,-110.37773527718407,15.3461954097268,0.0,-0.5144352549821467,0.9422589800714132,-0.8409680471205786,0.8120975371562852,0,0.0,0.4274086704096177,1.2718242362871024,1.029731912652987,-0.001506429125568995,0.1976046474463295,0.5190420314354114,1.0297326124428972,1.0
0,CAL_ZERO_COMP_ERROR_SRM,93.04680268102422,95.51802450681231,108.79490606423126,-107.81434387074114,15.163920711133592,0.0,91.27657045646926,94.00504820172196,103.11272512594383,-102.76099261357902,14.869862202071305,0.0,-0.5121080338750286,0.9515678644998857,-1.6426642252231634,1.4005035477225911,0,0.0,0.5479339642777018,1.8799341639896738,1.0248247579347236,-0.02933215367585016,0.25946243516339185,0.5394112126232358,1.0248232763168095,1.0
0,ORACLE_SRM,97.06056050875219,97.24809430216995,123.95939877921725,-125.71312158544977,15.830657891819301,0.0,95.47519265193628,95.78154223084334,121.73763725630435,-123.08290146948544,15.567307749491077,0.0,0.0,0.0,0.0,0.0,0,0.0,4.348309318354037e-12,7.275957614183426e-12,1.0000000000000002,-1.1350427322963727e-14,0.0,0.0,1.0,1.0
1,NOMINAL_SRM,55.44203252054052,79.89213481346737,58.464008092941455,-56.87711255202111,8.91728114959145,0.02587890625,54.030236714882555,79.11228703055275,58.79409938763725,-55.82991557296066,8.682763573900758,0.0,-1.0,6.006200745311259,-95.60020465514476,95.60109047590348,839,0.000885009765625,42.682673150884085,83.82727651722325,1.0009332349035382,-0.000625404128655677,18.87614019177993,65.73826411158734,1.0004200049774512,1.0
1,CAL_CURRENT_SRM,95.62042506267785,96.65200619465013,116.14784545121847,-120.75251667043818,15.591432734664096,0.0,93.66614897065614,94.7648329603484,112.04770721214473,-110.5833328811766,15.266802154594043,0.0,-0.5034753217819894,0.9860987128720424,-0.6185996475085261,1.108173682162558,0,0.0,0.44069577934580884,1.3147570959772565,1.0070030436710153,-0.002614005681912065,0.17849871992475558,0.5416023076435827,1.0070026580100866,1.0
1,CAL_SUM_NORM_SRM,95.5873510708161,96.65315764221134,113.6220188266858,-118.42679744147875,15.585938716082408,0.0,93.78946417312639,94.89685555038076,110.42253453812064,-108.96948916641401,15.287286407496078,0.0,-0.5001144426642252,0.9995422293430991,-0.8493934538796063,0.8491645685511559,0,0.0,0.4386886696107915,1.3423601192953356,1.0002285428409912,-0.001999553853902597,0.17849871992473043,0.5416023076435827,1.0002281529697372,1.0067729597694641
1,CAL_HEADROOM_GUARD_SRM,95.62042506267785,96.65200619465013,116.14784545121847,-120.75251667043818,15.591432734664096,0.0,93.66614897065614,94.7648329603484,112.04770721214473,-110.5833328811766,15.266802154594043,0.0,-0.5034753217819894,0.9860987128720424,-0.6185996475085261,1.108173682162558,0,0.0,0.44069577934580884,1.3147570959772565,1.0070030436710153,-0.002614005681912065,0.17849871992475558,0.5416023076435827,1.0070026580100866,1.0
